Race,San Francisco Chronicle,San Francisco Examiner,Democratic Party (SF),San Francisco Bay Guardian,Sierra Club,Green Party (SF),YIMBY Action,SF Tenants Union,SF Housing Action Coalition,GrowSF,SF League of Pissed Off Voters,SF Labor Council,SEIU 1021,SF League of Conservation Voters,SF Women's Political Committee,SF Berniecrats,SPUR (Planning / Urban Research Association),League of Women Voters of SF,SF Bicycle Coalition,Tech Workers Voter Guide,SF Republican Party,District 11 Democratic Club,Potrero Hill Democratic Club,Harvey Milk LGBTQ Democratic Club,United Democratic Club,Ed M. Lee Asian Pacific Democratic Club,Alice B. Toklas LGBT Democratic Club,Bernal Heights Democratic Club,Chinese American Democratic Club,Eastern Neighborhoods Democratic Club,SF Young Democrats,SF Young Republicans,Noe Valley Democratic Club,Home Sharers Democratic Club
Has rationale?,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Website link,https://www.sfchronicle.com/,https://www.sfexaminer.com/,https://www.sfdemocrats.org/,http://www.sfbg.com/,https://www.sierraclub.org/san-francisco-bay,https://www.sfgreenparty.org/,https://yimbyaction.org/,https://www.sftu.org/,https://www.sfhac.org/,https://growsf.org/,http://www.theleaguesf.org/,http://sflaborcouncil.org/,https://www.seiu1021.org/,https://www.sflcv.org/,https://sfwpc.org/,https://sfberniecrats.com/,https://www.spur.org/,https://lwvsf.org/,https://sfbike.org/,https://www.techworkers.vote/,http://www.sfgop.org/,https://www.sfd11dems.com/,https://www.phdemclub.org/,http://www.milkclub.org/,https://www.uniteddems.org/,https://www.edleedems.org/,http://www.alicebtoklas.org/about/,http://bhdemocrats.org/,https://www.sfcadc.org/,https://www.sfendc.com/,https://www.sfyd.org/,https://sfyr.io/,https://www.noevalleydemocrats.org/,https://www.homesharersdemclub.org/
Link,https://www.sfchronicle.com/projects/2022/california-voter-guide-june/endorsements/,https://www.sfexaminer.com/our_sections/forum/,https://www.sfdemocrats.org/voting/endorsements/2022/3/13/june-7-2022-primary-election,https://www.sfbg.com/2022/05/09/endorsements-chesa-boudin-june-7-san-francisco-election/,https://www.sierraclub.org/san-francisco-bay/2022-endorsements,https://www.sfgreenparty.org/endorsements/101-june-2022-endorsements,https://yimbyaction.org/endorsements/,https://sftu.org/endorsements/,NA,https://growsf.org/voter-guide,https://www.theleaguesf.org/,https://sflaborcouncil.org/politics/endorsements/,https://www.seiu1021.org/post/june-7-2022-endorsements,https://www.sflcv.org/endorsements,https://sfwpc.org/endorsements/,https://sfberniecrats.com/,https://www.spur.org/voter-guide/2022-06,https://lwvsf.org/ballot-recommendations,https://sfbike.org/news/our-endorsement-june-7-2022-elections/,NA,https://www.sfgop.org/voterguide,NA,https://www.phdemclub.org/?page_id=5201,https://www.milkclub.org/endorsements/,https://uniteddemclubsf.medium.com/club-endorsements-for-june-2022-ballot-propositions-98ce219a3bd0,https://www.edleedems.org/endorsements/2022sf,https://www.alicebtoklas.org/endorsements,http://bhdemocrats.org/index.php/endorsements/,https://www.sfcadc.org/current_endorsements,https://www.sfendc.com/endorsements,https://www.sfyd.org/endorsements,https://sfyr.io/election-information/,https://www.noevalleydemocrats.org/endorsements,https://www.homesharersdemclub.org/
senator,Alex Padilla,NA,Alex Padilla,NA,NA,John Parker,NA,NA,NA,Alex Padilla,Alex Padilla,Alex Padilla,Alex Padilla,NA,Alex Padilla,NA,NA,NA,NA,NA,NA,NA,Alex Padilla,Alex Padilla,Alex Padilla,Alex Padilla,Alex Padilla,Alex Padilla,Alex Padilla,Alex Padilla,Alex Padilla,Mark Meuser,Alex Padilla,Alex Padilla
house11,NA,NA,Nancy Pelosi,NA,NA,NA,NA,NA,NA,Nancy Pelosi,NA,Nancy Pelosi,Nancy Pelosi,NA,Nancy Pelosi,NA,NA,NA,NA,NA,John Dennis,NA,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,John Dennis,Nancy Pelosi,Nancy Pelosi
house15,NA,NA,Kevin Mullin,NA,NA,NA,NA,NA,NA,Kevin Mullin,NA,Kevin Mullin,NA,NA,Emily Beach,David Canepa,NA,NA,NA,NA,Gus Mattamal,NA,NA,David Canepa,Kevin Mullin,NA,Kevin Mullin,NA,NA,NA,David Canepa,Gus Mattammal,NA,Kevin Mullin
governor,Gavin Newsom,NA,Gavin Newsom,NA,NA,Luis Rodriguez,NA,NA,NA,Gavin Newsom,Luis Rodriguez,Gavin Newsom,Gavin Newsom,NA,Gavin Newsom,NA,NA,NA,NA,NA,Brian Dahle,NA,Gavin Newsom,Gavin Newsom,Gavin Newsom,Gavin Newsom,Gavin Newsom,Gavin Newsom,Gavin Newsom,Gavin Newsom,Gavin Newsom,NA,Gavin Newsom,Gavin Newsom
lieutenantGovernor,Eleni Kounalakis,Eleni Kounalakis,Eleni Kounalakis,NA,Eleni Kounalakis,Mohammad Arif,NA,NA,NA,Eleni Kounalakis,Mohammad Arif,Eleni Kounalakis,Eleni Kounalakis,NA,Eleni Kounalakis,NA,NA,NA,NA,NA,NA,NA,Eleni Kounalakis,NA,Eleni Kounalakis,Eleni Kounalakis,Eleni Kounalakis,Eleni Kounalakis,Eleni Kounalakis,Eleni Kounalakis,Eleni Kounalakis,NA,Eleni Kounalakis,Eleni Kounalakis
secretaryOfState,Shirley Weber,Shirley Weber,Shirley Weber,NA,Shirley Weber,Gary Blenner,NA,NA,NA,Shirley Weber,NA,Shirley Weber,Shirley Weber,NA,Shirley Weber,NA,NA,NA,NA,NA,NA,NA,Shirley Weber,Shirley Weber,Shirley Weber,Shirley Weber,Shirley Weber,Shirley Weber,Shirley Weber,Shirley Weber,Shirley Weber,NA,Shirley Weber,Shirley Weber
controller,Ron Galperin,"Malia Cohen, Steve Glazer",Malia Cohen,NA,NA,Laura Wells,NA,NA,NA,Malia Cohen,Ron Galperin,Malia Cohen,Malia Cohen,NA,Malia Cohen,Laura Wells,NA,NA,NA,NA,NA,NA,Malia Cohen,Malia Cohen,Malia Cohen,Malia Cohen,Malia Cohen,Malia Cohen,Malia Cohen,Malia Cohen,Malia Cohen,Lanhee Chen,Malia Cohen,Malia Cohen
treasurer,NA,NA,Fiona Ma,NA,NA,Meghann Adams,NA,NA,NA,Fiona Ma,Meghann Adams,Fiona Ma,Fiona Ma,NA,Fiona Ma,NA,NA,NA,NA,NA,NA,NA,Fiona Ma,NA,Fiona Ma,Fiona Ma,Fiona Ma,Fiona Ma,Fiona Ma,Fiona Ma,Fiona Ma,NA,Fiona Ma,Fiona Ma
attorneyGeneral,Rob Bonta,Rob Bonta,Rob Bonta,NA,Rob Bonta,Dan Kapelovitz,Rob Bonta,NA,NA,Rob Bonta,Rob Bonta,Rob Bonta,Rob Bonta,NA,Rob Bonta,NA,NA,NA,NA,NA,NA,NA,Rob Bonta,Rob Bonta,Rob Bonta,Rob Bonta,Rob Bonta,Rob Bonta,Rob Bonta,Rob Bonta,Rob Bonta,NA,Rob Bonta,Rob Bonta
insuranceCommissioner,Marc Levine,NA,Ricardo Lara,NA,Ricardo Lara,Nathalie Hrizi,NA,NA,NA,Ricardo Lara,Nathalie Hrizi,Ricardo Lara,Ricardo Lara,NA,Ricardo Lara,Nathalie Hrizi,NA,NA,NA,NA,NA,NA,Marc Levine,Ricardo Lara,Ricardo Lara,NA,Ricardo Lara,Ricardo Lara,NA,Ricardo Lara,NA,NA,NA,Ricardo Lara
equalizationDistrict2,NA,NA,Sally Lieber,NA,Sally Lieber,NA,NA,NA,NA,Michela Alioto-Pier,Sally Lieber,"Michela Alioto-Pier, Sally Lieber",Sally Lieber,NA,Sally Lieber,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michela Alioto-Pier,Michela Alioto-Pier,Sally Lieber,Sally Lieber,Michela Alioto-Pier,Sally Lieber,Sally Lieber,NA,NA,Sally Lieber
superintendent,Tony Thurmond,NA,Tony Thurmond,NA,Tony Thurmond,Marco Amaral,NA,NA,NA,NA,Marco Amaral,Tony Thurmond,Tony Thurmond,NA,Tony Thurmond,NA,NA,NA,NA,NA,NA,NA,Tony Thurmond,Tony Thurmond,Tony Thurmond,Tony Thurmond,Tony Thurmond,Tony Thurmond,NA,Tony Thurmond,Tony Thurmond,NA,Tony Thurmond,Joseph Campbell
stateAssembly17,Matt Haney,NA,NA,David Campos,NA,NA,Matt Haney,NA,NA,Matt Haney,NA,NA,Matt Haney,NA,Matt Haney,David Campos,NA,NA,Matt Haney,NA,NA,NA,Matt Haney,NA,Matt Haney,Matt Haney,Matt Haney,David Campos,Matt Haney,Matt Haney,NA,NA,Matt Haney,Matt Haney
stateAssembly19,NA,NA,Phil Ting,Phil Ting,Phil Ting,NA,Phil Ting,NA,NA,NA,NA,Phil Ting,Phil Ting,NA,NA,NA,NA,NA,Phil Ting,NA,NA,NA,NA,Phil Ting,NA,Phil Ting,Phil Ting,NA,NA,NA,Phil Ting,NA,NA,Phil Ting
cityAttorney,NA,David Chiu,David Chiu,NA,NA,NA,David Chiu,NA,NA,David Chiu,NA,NA,NA,David Chiu,David Chiu,NA,NA,NA,David Chiu,NA,NA,NA,David Chiu,David Chiu,David Chiu,David Chiu,David Chiu,David Chiu,David Chiu,David Chiu,David Chiu,NA,David Chiu,David Chiu
propA,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
propB,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,No,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,No,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,No,No
propC,No,Yes,Yes,Yes,NA,No,NA,Yes,NA,No,Yes,Yes,NA,Yes,No,Yes,No,Yes,NA,NA,No,NA,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
propD,No,Yes,Yes,No,NA,No,NA,NA,NA,Yes,No,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
propE,Yes,NA,Yes,Yes,NA,Yes,No,NA,NA,No,Yes,Yes,NA,Yes,Yes,Yes,No,Yes,NA,NA,No,NA,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,NA,No
propF,Yes,NA,Yes,Yes,NA,No,NA,NA,NA,No,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes
propG,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,No,Yes,Yes,Yes,NA,Yes,Yes,No,Yes,NA,NA,No,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,No
propH,No,No,No,No,No,No,NA,No,NA,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,NA,No,Yes,Yes,No,Yes,No,Yes
