Organization,Prop A,Prop B,Prop C,Prop D,Prop E,Prop F,Prop G,Prop H,Prop I,Prop J,Prop K,Prop L,Prop M,Prop N,Prop O
Democratic Party (SF),Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
San Francisco Bay Guardian,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,,No,Yes,Yes,Yes,Yes
SF League of Pissed Off Voters,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,No,Yes
YIMBY Action,,Yes,,Yes,No,,,,,,Yes,Yes,,,
GrowSF,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Green Party (SF),No,No,Yes,No,,No,Yes,,Yes,No,No,Yes,No,No,Yes
SF Tenants Union,Yes,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,,Yes,,,Yes
Sierra Club,,Yes,,,,,Yes,,,,Yes,Yes,,,
SF Housing Action Coalition,,Yes,,,,,Yes,,,,,Yes,,,
SF Labor Council,Yes,Yes,,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
SEIU 1021,Yes,Yes,Yes,No,No,,Yes,,Yes,Yes,,Yes,,Yes,Yes
SF League of Conservation Voters,,Yes,Yes,No,Yes,,Yes,,,,Yes,Yes,,,
SF Women's Political Committee,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TogetherSF,Yes,Yes,No,Yes,,Yes,No,Yes,No,Yes,,No,Yes,No,Yes
League of Women Voters of SF,Yes,Yes,Yes,No,Yes,No,Yes,,,Yes,,Yes,No,,Yes
SF Republican Party,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,
District 11 Democratic Club,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,,Yes
Potrero Hill Democratic Club,Yes,Yes,Yes,No,,,Yes,,Yes,Yes,,Yes,Yes,,Yes
Harvey Milk LGBTQ Democratic Club,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes
United Democratic Club,Yes,Yes,No,Yes,No,Yes,No,,,,Yes,No,Yes,No,Yes
Ed M. Lee Asian Pacific Democratic Club,Yes,Yes,No,Yes,No,Yes,No,Yes,,Yes,No,No,Yes,No,Yes
Alice B. Toklas LGBT Democratic Club,Yes,Yes,No,No,No,,No,,No,Yes,Yes,Yes,Yes,No,Yes
Bernal Heights Democratic Club,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
Chinese American Democratic Club,,Yes,,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Eastern Neighborhoods Democratic Club,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes
Noe Valley Democratic Club,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,,Yes,No,Yes
Home Sharers Democratic Club,,,No,No,No,Yes,Yes,,,No,,No,,No,Yes
SF Bicycle Coalition,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,Yes,,,